Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
66,tt13616990,2022-01-03,2022-01-03,,"Chainsaw Man","Chainsaw Man",https://www.imdb.com/title/tt13616990/,TV Series,8.3,24,2022,"Animation, Action, Comedy, Fantasy",98882,2022-10-11,,,
67,tt13229934,2022-01-03,2022-01-03,,"Godzilla Singular Point","Gojira shingyura pointo",https://www.imdb.com/title/tt13229934/,TV Mini Series,6.5,24,2021,"Animation, Action, Sci-Fi, Thriller",2599,2021-06-24,,,
68,tt0060472,2022-01-03,2022-01-03,,"Grand Prix","Grand Prix",https://www.imdb.com/title/tt0060472/,Movie,7.2,176,1966,"Drama, Sport",11989,1966-12-21,"John Frankenheimer",,
69,tt1979320,2022-01-03,2022-01-03,,"Rush","Rush",https://www.imdb.com/title/tt1979320/,Movie,8.1,123,2013,"Biography, Drama, Sport",556129,2013-09-27,"Ron Howard",,
70,tt7979580,2022-01-03,2022-01-03,,"The Mitchells vs. the Machines","The Mitchells vs the Machines",https://www.imdb.com/title/tt7979580/,Movie,7.6,114,2021,"Animation, Adventure, Comedy, Family, Sci-Fi",141478,2021-04-30,"Michael Rianda, Jeff Rowe",,
71,tt12809988,2022-01-03,2022-01-03,,"Sweet Tooth","Sweet Tooth",https://www.imdb.com/title/tt12809988/,TV Series,7.7,50,2021,"Action, Adventure, Drama, Fantasy, Sci-Fi",78453,2021-06-04,,,
72,tt1051907,2022-01-03,2022-01-03,,"For Love and Honor","Kabadayi",https://www.imdb.com/title/tt1051907/,Movie,7.8,140,2007,"Crime, Drama",25841,2007-12-14,"Ömer Vargi",,
73,tt0091251,2022-01-03,2022-01-03,,"Come and See","Idi i smotri",https://www.imdb.com/title/tt0091251/,Movie,8.3,142,1985,"Drama, Thriller, War",121414,1985-09-03,"Elem Klimov",,
74,tt9784798,2022-01-03,2022-01-03,,"Judas and the Black Messiah","Judas and the Black Messiah",https://www.imdb.com/title/tt9784798/,Movie,7.4,126,2021,"Biography, Crime, Drama, History",114121,2021-02-12,"Shaka King",,
75,tt0292963,2022-01-03,2022-01-03,,"Before the Devil Knows You're Dead","Before the Devil Knows You're Dead",https://www.imdb.com/title/tt0292963/,Movie,7.3,117,2007,"Crime, Drama, Thriller",121610,2007-10-26,"Sidney Lumet",,
76,tt3532216,2022-01-03,2022-01-03,,"American Made","American Made",https://www.imdb.com/title/tt3532216/,Movie,7.1,115,2017,"Action, Comedy, Crime, Drama, Thriller",231632,2017-09-29,"Doug Liman",,
77,tt5918982,2022-01-03,2022-01-03,,"Possessor","Possessor",https://www.imdb.com/title/tt5918982/,Movie,6.5,103,2020,"Horror, Mystery, Sci-Fi, Thriller",53366,2020-10-02,"Brandon Cronenberg",,
78,tt12838766,2022-01-03,2022-01-03,,"Space Sweepers","Seungriho",https://www.imdb.com/title/tt12838766/,Movie,6.5,136,2021,"Action, Adventure, Drama, Fantasy, Sci-Fi",30981,2021-02-05,"Jo Sung-hee",,
79,tt5037996,2022-01-03,2022-01-03,,"Nausea","Bulanti",https://www.imdb.com/title/tt5037996/,Movie,6.2,112,2015,"Drama",3362,2015-10-02,"Zeki Demirkubuz",,
80,tt5334076,2022-01-03,2022-01-03,,"Inflame","Kaygi",https://www.imdb.com/title/tt5334076/,Movie,6.3,94,2017,"Drama, Thriller",1358,2017-05-12,"Ceylan Özgün Özçelik",,
81,tt0087644,2022-01-03,2022-01-03,,"Love Streams","Love Streams",https://www.imdb.com/title/tt0087644/,Movie,7.6,141,1984,"Drama",7368,1984-08-24,"John Cassavetes",,
82,tt0061578,2022-01-03,2022-01-03,,"The Dirty Dozen","The Dirty Dozen",https://www.imdb.com/title/tt0061578/,Movie,7.7,150,1967,"Action, Adventure, War",83791,1967-10-22,"Robert Aldrich",,
83,tt0070628,2022-01-03,2022-01-03,,"The Hourglass Sanatorium","Sanatorium pod Klepsydra",https://www.imdb.com/title/tt0070628/,Movie,7.4,124,1973,"Drama, Fantasy, Horror",5991,1973-12-12,"Wojciech Has",,
84,tt0092337,2022-01-03,2022-01-03,,"Dekalog","Dekalog",https://www.imdb.com/title/tt0092337/,TV Mini Series,8.9,60,1989,"Drama",34739,1989-12-10,,,
85,tt0092991,2022-01-03,2022-01-03,,"Evil Dead II","Evil Dead II",https://www.imdb.com/title/tt0092991/,Movie,7.7,84,1987,"Comedy, Horror",195404,1987-03-13,"Sam Raimi",,
86,tt0083907,2022-01-03,2022-01-03,,"The Evil Dead","The Evil Dead",https://www.imdb.com/title/tt0083907/,Movie,7.3,85,1981,"Horror",250166,1983-04-15,"Sam Raimi",,
87,tt1602613,2022-01-03,2022-01-03,,"Only God Forgives","Only God Forgives",https://www.imdb.com/title/tt1602613/,Movie,5.7,90,2013,"Action, Crime, Drama, Thriller",122547,2013-05-22,"Nicolas Winding Refn",,
88,tt1974419,2022-01-03,2022-01-03,,"The Neon Demon","The Neon Demon",https://www.imdb.com/title/tt1974419/,Movie,6.1,117,2016,"Horror, Thriller",110555,2016-06-24,"Nicolas Winding Refn",,
89,tt0097444,2022-01-03,2022-01-03,,"Godzilla vs. Biollante","Gojira vs. Biorante",https://www.imdb.com/title/tt0097444/,Movie,6.5,104,1989,"Action, Drama, Fantasy, Horror, Sci-Fi, Thriller",8248,1989-12-16,"Kazuki Ômori, Kôji Hashimoto, Kenjirô Ohmori",,
90,tt0096071,2022-01-03,2022-01-03,,"The Serpent and the Rainbow","The Serpent and the Rainbow",https://www.imdb.com/title/tt0096071/,Movie,6.4,98,1988,"Fantasy, Horror",29601,1988-02-05,"Wes Craven",,
91,tt2708480,2022-01-03,2022-01-03,,"The Terror","The Terror",https://www.imdb.com/title/tt2708480/,TV Series,7.8,60,2018,"Adventure, Drama, Horror, Thriller",60977,2018-03-25,,,
92,tt2822584,2022-01-03,2022-01-03,,"Future Shock! The Story of 2000AD","Future Shock! The Story of 2000AD",https://www.imdb.com/title/tt2822584/,Movie,7.2,110,2014,"Documentary",892,2015-12-04,"Paul Goodwin",,
93,tt9777644,2022-01-03,2022-01-03,,"Da 5 Bloods","Da 5 Bloods",https://www.imdb.com/title/tt9777644/,Movie,6.5,154,2020,"Adventure, Drama, War",57416,2020-06-12,"Spike Lee",,
94,tt0383028,2022-01-03,2022-01-03,,"Synecdoche, New York","Synecdoche, New York",https://www.imdb.com/title/tt0383028/,Movie,7.5,124,2008,"Drama",104228,2009-02-05,"Charlie Kaufman",,
95,tt0120601,2022-01-03,2022-01-03,,"Being John Malkovich","Being John Malkovich",https://www.imdb.com/title/tt0120601/,Movie,7.7,113,1999,"Comedy, Drama, Fantasy",368594,1999-12-03,"Spike Jonze",,
96,tt1209386,2022-01-03,2022-01-03,,"Kaiba","Kaiba",https://www.imdb.com/title/tt1209386/,TV Mini Series,8.0,24,2008,"Animation, Adventure, Drama, Mystery, Romance, Sci-Fi",2269,2008-04-10,,,
97,tt1095442,2022-01-03,2022-01-03,,"Goodbye Solo","Goodbye Solo",https://www.imdb.com/title/tt1095442/,Movie,7.3,91,2008,"Drama",6255,2009-08-26,"Ramin Bahrani",,
98,tt0104029,2022-01-03,2022-01-03,,"Cronos","Cronos",https://www.imdb.com/title/tt0104029/,Movie,6.7,94,1992,"Drama, Fantasy, Horror, Thriller",36216,1994-05,"Guillermo del Toro",,
99,tt7984766,2022-01-03,2022-01-03,,"The King","The King",https://www.imdb.com/title/tt7984766/,Movie,7.3,140,2019,"Biography, Drama, History, War",176537,2019-11-01,"David Michôd",,
100,tt10618286,2022-01-03,2022-01-03,,"Mank","Mank",https://www.imdb.com/title/tt10618286/,Movie,6.8,131,2020,"Biography, Drama",103941,2020-12-04,"David Fincher",,
101,tt2149175,2022-01-03,2022-01-03,,"The Americans","The Americans",https://www.imdb.com/title/tt2149175/,TV Series,8.4,44,2013,"Crime, Drama, Mystery, Thriller",122864,2013-01-30,,,
102,tt1399664,2022-01-03,2022-01-03,,"The Night Manager","The Night Manager",https://www.imdb.com/title/tt1399664/,TV Series,8.0,60,2016,"Crime, Drama, Mystery, Thriller",134859,2016-04-19,,,
103,tt0346491,2022-01-03,2022-01-03,,"Alexander","Alexander",https://www.imdb.com/title/tt0346491/,Movie,5.6,175,2004,"Action, Biography, Drama, History, War",182986,2004-11-24,"Oliver Stone",,
104,tt0332452,2022-01-03,2022-01-03,,"Troy","Troy",https://www.imdb.com/title/tt0332452/,Movie,7.3,163,2004,"Action, Adventure, Drama",612486,2004-05-14,"Wolfgang Petersen",,
105,tt5027774,2022-01-03,2022-01-03,,"Three Billboards Outside Ebbing, Missouri","Three Billboards Outside Ebbing, Missouri",https://www.imdb.com/title/tt5027774/,Movie,8.1,115,2017,"Comedy, Crime, Drama",603706,2017-12-01,"Martin McDonagh",,
106,tt0405159,2022-01-03,2022-01-03,,"Million Dollar Baby","Million Dollar Baby",https://www.imdb.com/title/tt0405159/,Movie,8.1,132,2004,"Drama, Sport",763334,2005-01-28,"Clint Eastwood",,
107,tt0120657,2022-01-03,2022-01-03,,"The 13th Warrior","The 13th Warrior",https://www.imdb.com/title/tt0120657/,Movie,6.6,102,1999,"Action, Adventure, History",138934,1999-08-27,"John McTiernan",,
108,tt8236336,2022-01-03,2022-01-03,,"The Report","The Report",https://www.imdb.com/title/tt8236336/,Movie,7.2,119,2019,"Biography, Crime, Drama, History, Thriller",56402,2019-11-15,"Scott Z. Burns",,
109,tt0096895,2022-01-03,2022-01-03,,"Batman","Batman",https://www.imdb.com/title/tt0096895/,Movie,7.5,126,1989,"Action, Adventure",430651,1989-06-23,"Tim Burton",,
110,tt0078346,2022-01-03,2022-01-03,,"Superman","Superman",https://www.imdb.com/title/tt0078346/,Movie,7.4,143,1978,"Action, Adventure, Sci-Fi",206856,1978-12-15,"Richard Donner",,
111,tt0263211,2022-01-03,2022-01-03,,"The Naked Citizen","Çiplak Vatandas",https://www.imdb.com/title/tt0263211/,Movie,7.5,80,1985,"Comedy, Drama",5351,,"Basar Sabuncu",,
112,tt7740510,2022-01-03,2022-01-03,,"Antlers","Antlers",https://www.imdb.com/title/tt7740510/,Movie,5.9,99,2021,"Drama, Horror, Mystery",49382,2021-10-29,"Scott Cooper",,
113,tt2005151,2022-01-03,2022-01-03,,"War Dogs","War Dogs",https://www.imdb.com/title/tt2005151/,Movie,7.1,114,2016,"Biography, Comedy, Crime, Drama, War",295436,2016-08-19,"Todd Phillips",,
114,tt0445114,2022-01-03,2022-01-03,,"Extras","Extras",https://www.imdb.com/title/tt0445114/,TV Series,8.3,30,2005,"Comedy, Drama",63407,2005-09-25,,,
115,tt3592032,2022-01-03,2022-01-03,,"Ping Pong the Animation","Ping Pong the Animation",https://www.imdb.com/title/tt3592032/,TV Mini Series,8.6,23,2014,"Animation, Drama, Sport",6058,2014-04-10,,,
116,tt0298203,2022-01-03,2022-01-03,,"8 Mile","8 Mile",https://www.imdb.com/title/tt0298203/,Movie,7.2,110,2002,"Drama, Music",349755,2002-11-08,"Curtis Hanson",,
117,tt0438488,2022-01-03,2022-01-03,,"Terminator Salvation","Terminator Salvation",https://www.imdb.com/title/tt0438488/,Movie,6.5,115,2009,"Action, Adventure, Sci-Fi",391823,2009-05-21,"McG",,
118,tt8456098,2022-01-03,2022-01-03,,"Karakomik Filmler: 2 Arada","Karakomik Filmler: 2 Arada",https://www.imdb.com/title/tt8456098/,Movie,6.4,60,2019,"Comedy, Drama",14445,2020-08-28,"Cem Yılmaz",,
119,tt1466074,2022-01-03,2022-01-03,,"Columbo","Columbo",https://www.imdb.com/title/tt1466074/,TV Series,8.3,100,1971,"Crime, Drama, Mystery, Thriller",47272,1971-09-15,,,
120,tt2294965,2022-01-03,2022-01-03,,"Zero Charisma","Zero Charisma",https://www.imdb.com/title/tt2294965/,Movie,6.3,86,2013,"Comedy, Drama",2900,2013-10-08,"Katie Graham, Andrew Matthews",,
121,tt6878038,2022-01-03,2022-01-03,,"A Taxi Driver","Taeksi woonjunsa",https://www.imdb.com/title/tt6878038/,Movie,7.9,137,2017,"Action, Drama, History",37644,2017-08-11,"Hun Jang",,
122,tt2614684,2022-01-03,2022-01-03,,"'71","'71",https://www.imdb.com/title/tt2614684/,Movie,7.2,99,2014,"Action, Crime, Drama, Thriller, War",64688,2014-10-10,"Yann Demange",,
123,tt5711280,2022-01-03,2022-01-03,,"Electric Dreams","Electric Dreams",https://www.imdb.com/title/tt5711280/,TV Series,7.2,60,2017,"Drama, Sci-Fi",20313,2018-01-12,,,
124,tt4263482,2022-01-03,2022-01-03,,"The Witch","The VVitch: A New-England Folktale",https://www.imdb.com/title/tt4263482/,Movie,7.0,92,2015,"Drama, Fantasy, Horror, Mystery, Thriller",349398,2016-02-19,"Robert Eggers",,
125,tt7323600,2022-01-03,2022-01-03,,"Hagazussa","Hagazussa",https://www.imdb.com/title/tt7323600/,Movie,5.8,102,2017,"Drama, Horror",8376,2019-04-19,"Lukas Feigelfeld",,
126,tt11639414,2022-01-03,2022-01-03,,"The Midnight Gospel","The Midnight Gospel",https://www.imdb.com/title/tt11639414/,TV Series,8.2,23,2020,"Animation, Adventure, Comedy, Fantasy, Sci-Fi",29462,2020-04-20,,,
127,tt2631186,2022-01-03,2022-01-03,,"Baahubali: The Beginning","Bãhubali: The Beginning",https://www.imdb.com/title/tt2631186/,Movie,8.0,159,2015,"Action, Drama",152830,2015-07-09,"S.S. Rajamouli",,
128,tt0111873,2022-01-03,2022-01-03,,"Æon Flux","Æon Flux",https://www.imdb.com/title/tt0111873/,TV Series,7.8,30,1991,"Animation, Action, Adventure, Sci-Fi, Thriller",7892,1991-06-30,,,
129,tt0108265,2022-01-03,2022-01-03,,"Swing Kids","Swing Kids",https://www.imdb.com/title/tt0108265/,Movie,6.8,112,1993,"Drama, Music",18292,1993-03-05,"Thomas Carter",,
130,tt7078180,2022-01-03,2022-01-03,,"Violet Evergarden","Violet Evergarden",https://www.imdb.com/title/tt7078180/,TV Mini Series,8.4,24,2018,"Animation, Drama, Fantasy, Romance, Sci-Fi",40114,2020-08-22,,,
131,tt5556656,2022-01-03,2022-01-03,,"Kabaneri of the Iron Fortress","Kôtetsujô no Kabaneri",https://www.imdb.com/title/tt5556656/,TV Series,7.2,23,2016,"Animation, Action, Adventure, Drama, Fantasy, Horror",7818,2024-04-07,,,
132,tt4084744,2022-01-03,2022-01-03,,"Battle for Sevastopol","Bitva za Sevastopol",https://www.imdb.com/title/tt4084744/,Movie,7.0,110,2015,"Action, Biography, Drama, History, Romance, War",15236,2015-04-02,"Sergey Mokritskiy",,
133,tt2359704,2022-01-03,2022-01-03,,"JoJo's Bizarre Adventure","JoJo no Kimyô na Bôken",https://www.imdb.com/title/tt2359704/,TV Series,8.5,24,2012,"Animation, Action, Adventure, Comedy, Drama, Fantasy, Horror",51957,2012-10-04,,,
134,tt9806192,2022-01-03,2022-01-03,,"I Lost My Body","J'ai perdu mon corps",https://www.imdb.com/title/tt9806192/,Movie,7.5,81,2019,"Animation, Drama, Fantasy, Romance",38594,2019-11-15,"Jérémy Clapin",,
135,tt11147852,2022-01-03,2022-01-03,,"Dorohedoro","Dorohedoro",https://www.imdb.com/title/tt11147852/,TV Series,8.0,25,2020,"Animation, Action, Comedy, Fantasy, Horror, Sci-Fi",14704,2020-05-28,,,
136,tt8526872,2022-01-03,2022-01-03,,"Dolemite Is My Name","Dolemite Is My Name",https://www.imdb.com/title/tt8526872/,Movie,7.2,118,2019,"Biography, Comedy, Drama",67959,2019-10-25,"Craig Brewer",,
137,tt0120863,2022-01-03,2022-01-03,,"The Thin Red Line","The Thin Red Line",https://www.imdb.com/title/tt0120863/,Movie,7.6,170,1998,"Drama, History, War",212168,1999-01-15,"Terrence Malick",,
138,tt1063669,2022-01-03,2022-01-03,,"The Wave","Die Welle",https://www.imdb.com/title/tt1063669/,Movie,7.6,107,2008,"Drama, Thriller",121257,2011-05-27,"Dennis Gansel",,
139,tt6304046,2022-01-03,2022-01-03,,"Thelma","Thelma",https://www.imdb.com/title/tt6304046/,Movie,6.9,116,2017,"Drama, Fantasy, Horror, Mystery, Romance, Thriller",39518,2017-09-15,"Joachim Trier",,
140,tt0114148,2022-01-03,2022-01-03,,"Pocahontas","Pocahontas",https://www.imdb.com/title/tt0114148/,Movie,6.7,81,1995,"Animation, Adventure, Drama, Family, Musical, Romance",216674,1995-06-23,"Mike Gabriel, Eric Goldberg",,
141,tt0033467,2022-01-03,2022-01-03,,"Citizen Kane","Citizen Kane",https://www.imdb.com/title/tt0033467/,Movie,8.2,119,1941,"Drama, Mystery",492256,1941-09-05,"Orson Welles",,
142,tt0421357,2022-01-03,2022-01-03,,"Fullmetal Alchemist","Hagane no renkinjutsushi",https://www.imdb.com/title/tt0421357/,TV Series,8.5,24,2003,"Animation, Action, Adventure, Comedy, Drama, Fantasy, Sci-Fi",85697,2004-11-06,,,
143,tt0303461,2022-01-03,2022-01-03,,"Firefly","Firefly",https://www.imdb.com/title/tt0303461/,TV Series,8.9,45,2002,"Adventure, Drama, Sci-Fi",300523,2002-09-20,,,
144,tt10332508,2022-01-03,2022-01-03,,"Primal","Primal",https://www.imdb.com/title/tt10332508/,TV Series,8.6,22,2019,"Animation, Action, Adventure, Drama, Fantasy, Horror",28884,2019-10-07,,7,2023-02-20
145,tt7049682,2022-01-03,2022-01-03,,"Watchmen","Watchmen",https://www.imdb.com/title/tt7049682/,TV Mini Series,8.2,60,2019,"Crime, Drama, Mystery, Sci-Fi",145282,2019-10-20,,,
146,tt0154506,2022-01-03,2022-01-03,,"Following","Following",https://www.imdb.com/title/tt0154506/,Movie,7.4,69,1998,"Crime, Mystery, Thriller",109761,1999-11-05,"Christopher Nolan",,
147,tt0125664,2022-01-03,2022-01-03,,"Man on the Moon","Man on the Moon",https://www.imdb.com/title/tt0125664/,Movie,7.4,118,1999,"Biography, Comedy, Drama",143170,1999-12-22,"Milos Forman",,
148,tt1305806,2022-01-03,2022-01-03,,"The Secret in Their Eyes","El secreto de sus ojos",https://www.imdb.com/title/tt1305806/,Movie,8.2,129,2009,"Drama, Mystery, Romance, Thriller",241029,2010-05-21,"Juan José Campanella",,
149,tt0098327,2022-01-03,2022-01-03,,"The Seventh Continent","Der siebente Kontinent",https://www.imdb.com/title/tt0098327/,Movie,7.6,108,1989,"Drama",18946,1992-10-09,"Michael Haneke",,
150,tt1437358,2022-01-03,2022-01-03,,"Sleep Tight","Mientras duermes",https://www.imdb.com/title/tt1437358/,Movie,7.2,102,2011,"Crime, Drama, Thriller",49684,2011-10-14,"Jaume Balagueró",,
151,tt0057187,2022-01-03,2022-01-03,,"Irma la Douce","Irma la Douce",https://www.imdb.com/title/tt0057187/,Movie,7.3,147,1963,"Comedy, Romance",23982,1963-07-05,"Billy Wilder",,
152,tt11612120,2022-01-03,2022-01-03,,"Sweet Home","Seuwiteuhom",https://www.imdb.com/title/tt11612120/,TV Series,7.2,52,2020,"Drama, Fantasy, Horror, Thriller",41582,2020-12-18,,,
153,tt0095327,2022-01-03,2022-01-03,,"Grave of the Fireflies","Hotaru no haka",https://www.imdb.com/title/tt0095327/,Movie,8.5,88,1988,"Animation, Drama, War",380659,1989-07-26,"Isao Takahata",,
154,tt8399288,2022-01-04,2022-01-04,,"Memoria","Memoria",https://www.imdb.com/title/tt8399288/,Movie,6.4,136,2021,"Drama, Mystery, Sci-Fi",12717,2021-09-30,"Apichatpong Weerasethakul",,
155,tt0042876,2022-01-10,2022-01-10,,"Rashomon","Rashômon",https://www.imdb.com/title/tt0042876/,Movie,8.1,88,1950,"Crime, Drama, Mystery",195671,1951-12-26,"Akira Kurosawa",,
156,tt10986222,2022-01-10,2022-01-10,,"C'mon C'mon","C'mon C'mon",https://www.imdb.com/title/tt10986222/,Movie,7.3,109,2021,"Drama",42606,2021-11-24,"Mike Mills",,
157,tt4288182,2022-01-23,2022-01-23,,"Atlanta","Atlanta",https://www.imdb.com/title/tt4288182/,TV Series,8.6,30,2016,"Comedy, Drama, Music",97966,2016-09-06,,,
158,tt1714915,2022-01-27,2022-01-27,,"Only Lovers Left Alive","Only Lovers Left Alive",https://www.imdb.com/title/tt1714915/,Movie,7.2,123,2013,"Comedy, Drama, Fantasy, Horror, Romance",115198,2013-12-25,"Jim Jarmusch",,
159,tt14134550,2022-01-31,2022-01-31,,"Odd Taxi","Odd Taxi",https://www.imdb.com/title/tt14134550/,TV Series,8.3,23,2021,"Animation, Comedy, Crime, Drama, Mystery, Thriller",7647,2021-04-06,,,
160,tt0109836,2022-02-12,2022-02-12,,"Frankenstein","Mary Shelley's Frankenstein",https://www.imdb.com/title/tt0109836/,Movie,6.3,123,1994,"Drama, Horror, Romance, Sci-Fi",63595,1994-11-04,"Kenneth Branagh",,
161,tt0109688,2022-02-18,2022-02-18,,"Ashes of Time","Dung che sai duk",https://www.imdb.com/title/tt0109688/,Movie,7.0,100,1994,"Action, Drama",18190,1994-09-17,"Wong Kar-Wai",,
162,tt10574236,2022-02-25,2022-02-25,,"Station Eleven","Station Eleven",https://www.imdb.com/title/tt10574236/,TV Mini Series,7.5,51,2021,"Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",42202,2021-12-16,,,
163,tt13409432,2022-02-25,2022-02-25,,"Ranking of Kings","Ousama Ranking",https://www.imdb.com/title/tt13409432/,TV Series,8.4,23,2021,"Animation, Action, Adventure, Comedy, Drama, Fantasy",15554,2021,,,
164,tt0090315,2022-03-15,2022-03-15,,"When the Wind Blows","When the Wind Blows",https://www.imdb.com/title/tt0090315/,Movie,7.7,84,1986,"Animation, Drama, War",14599,1988-03-11,"Jimmy T. Murakami",,
165,tt0090163,2022-03-15,2022-03-15,,"Threads","Threads",https://www.imdb.com/title/tt0090163/,TV Movie,7.9,112,1984,"Drama, Sci-Fi, Thriller",27273,1984-09-23,"Mick Jackson",,
166,tt14192504,2022-03-22,2022-03-22,,"We Own This City","We Own This City",https://www.imdb.com/title/tt14192504/,TV Mini Series,7.6,60,2022,"Biography, Crime, Drama",32404,2022-04-25,,,
167,tt13464340,2022-03-29,2022-03-29,,"Alien Worlds","Alien Worlds",https://www.imdb.com/title/tt13464340/,TV Series,6.6,,2020,"Documentary, Animation, Sci-Fi",4529,2020-12-02,,,
168,tt2245084,2022-04-07,2022-04-07,,"Big Hero 6","Big Hero 6",https://www.imdb.com/title/tt2245084/,Movie,7.8,102,2014,"Animation, Action, Adventure, Comedy, Crime, Family, Sci-Fi",550254,2014-11-07,"Don Hall, Chris Williams",,
169,tt2387433,2022-04-11,2022-04-11,,"Dark Skies","Dark Skies",https://www.imdb.com/title/tt2387433/,Movie,6.3,97,2013,"Horror, Sci-Fi, Thriller",84642,2013-02-22,"Scott Stewart",,
170,tt1017460,2022-04-11,2022-04-11,,"Splice","Splice",https://www.imdb.com/title/tt1017460/,Movie,5.8,104,2009,"Horror, Sci-Fi",106254,2010-06-04,"Vincenzo Natali",,
171,tt0117381,2022-04-16,2022-04-16,,"Primal Fear","Primal Fear",https://www.imdb.com/title/tt0117381/,Movie,7.7,129,1996,"Crime, Drama, Mystery, Thriller",280749,1996-04-03,"Gregory Hoblit",,
172,tt0307901,2022-04-16,2022-04-16,,"25th Hour","25th Hour",https://www.imdb.com/title/tt0307901/,Movie,7.6,135,2002,"Drama",191179,2003-01-10,"Spike Lee",,
173,tt0411477,2022-04-16,2022-04-16,,"Hellboy II: The Golden Army","Hellboy II: The Golden Army",https://www.imdb.com/title/tt0411477/,Movie,7.0,120,2008,"Action, Adventure, Fantasy, Horror, Sci-Fi",298211,2008-07-11,"Guillermo del Toro",,
174,tt0167190,2022-04-16,2022-04-16,,"Hellboy","Hellboy",https://www.imdb.com/title/tt0167190/,Movie,6.9,122,2004,"Action, Adventure, Fantasy, Horror, Sci-Fi",369467,2004-04-02,"Guillermo del Toro",,
175,tt1139797,2022-04-17,2022-04-17,,"Let the Right One In","Låt den rätte komma in",https://www.imdb.com/title/tt1139797/,Movie,7.8,114,2008,"Drama, Fantasy, Horror, Romance",239220,2008-12-12,"Tomas Alfredson",,
176,tt0120663,2022-04-17,2022-04-17,,"Eyes Wide Shut","Eyes Wide Shut",https://www.imdb.com/title/tt0120663/,Movie,7.5,159,1999,"Drama, Mystery, Thriller",425337,1999-07-16,"Stanley Kubrick",,
177,tt0052357,2022-04-17,2022-04-17,,"Vertigo","Vertigo",https://www.imdb.com/title/tt0052357/,Movie,8.2,128,1958,"Mystery, Romance, Thriller",457738,1958-05-28,"Alfred Hitchcock",,
178,tt0253474,2022-04-17,2022-04-17,,"The Pianist","The Pianist",https://www.imdb.com/title/tt0253474/,Movie,8.5,150,2002,"Biography, Drama, Music, War",1006561,2003-03-28,"Roman Polanski",,
179,tt0081398,2022-04-17,2022-04-17,,"Raging Bull","Raging Bull",https://www.imdb.com/title/tt0081398/,Movie,8.1,129,1980,"Biography, Drama, Sport",408802,1980-12-19,"Martin Scorsese",,
180,tt0089881,2022-04-17,2022-04-17,,"Ran","Ran",https://www.imdb.com/title/tt0089881/,Movie,8.2,160,1985,"Action, Drama, War",151034,1985-06-01,"Akira Kurosawa",,
181,tt0079944,2022-04-17,2022-04-17,,"Stalker","Stalker",https://www.imdb.com/title/tt0079944/,Movie,8.0,162,1979,"Drama, Sci-Fi",156096,1980-04-17,"Andrei Tarkovsky",,
182,tt0097814,2022-04-17,2022-04-17,,"Kiki's Delivery Service","Majo no takkyûbin",https://www.imdb.com/title/tt0097814/,Movie,7.8,103,1989,"Animation, Family, Fantasy",186523,1990-12-20,"Hayao Miyazaki",,
183,tt0092965,2022-04-17,2022-04-17,,"Empire of the Sun","Empire of the Sun",https://www.imdb.com/title/tt0092965/,Movie,7.7,153,1987,"Drama, War",142302,1987-12-25,"Steven Spielberg",,
184,tt0056058,2022-04-17,2022-04-17,,"Harakiri","Seppuku",https://www.imdb.com/title/tt0056058/,Movie,8.6,133,1962,"Drama, Mystery",90022,1964-08-04,"Masaki Kobayashi",,
185,tt0027977,2022-04-17,2022-04-17,,"Modern Times","Modern Times",https://www.imdb.com/title/tt0027977/,Movie,8.5,87,1936,"Comedy, Drama, Romance",284294,1936-02-25,"Charles Chaplin",,
186,tt0245429,2022-04-17,2022-04-17,,"Spirited Away","Sen to Chihiro no kamikakushi",https://www.imdb.com/title/tt0245429/,Movie,8.6,124,2001,"Animation, Adventure, Family, Fantasy",959630,2003-03-28,"Hayao Miyazaki",,
187,tt0347149,2022-04-17,2022-04-17,,"Howl's Moving Castle","Hauru no ugoku shiro",https://www.imdb.com/title/tt0347149/,Movie,8.2,119,2004,"Animation, Adventure, Family, Fantasy",508211,2005-06-17,"Hayao Miyazaki",,
188,tt0185906,2022-04-17,2022-04-17,,"Band of Brothers","Band of Brothers",https://www.imdb.com/title/tt0185906/,TV Mini Series,9.4,60,2001,"Action, Drama, History, War",589966,2001-09-09,,,
189,tt0075148,2022-04-17,2022-04-17,,"Rocky","Rocky",https://www.imdb.com/title/tt0075148/,Movie,8.1,120,1976,"Drama, Sport",684852,1976-12-03,"John G. Avildsen",,
190,tt0167404,2022-04-17,2022-04-17,,"The Sixth Sense","The Sixth Sense",https://www.imdb.com/title/tt0167404/,Movie,8.2,107,1999,"Drama, Mystery, Thriller",1138373,1999-08-06,"M. Night Shyamalan",,
191,tt0083944,2022-04-18,2022-04-18,,"First Blood","First Blood",https://www.imdb.com/title/tt0083944/,Movie,7.7,93,1982,"Action, Adventure, Thriller",299602,1982-10-22,"Ted Kotcheff",,
192,tt0370263,2022-04-18,2022-04-18,,"Alien vs. Predator","AVP: Alien vs. Predator",https://www.imdb.com/title/tt0370263/,Movie,5.7,101,2004,"Action, Adventure, Horror, Sci-Fi, Thriller",231815,2004-08-13,"Paul W.S. Anderson",,
