Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
577,tt37538716,2025-12-26,2025-12-26,,"El Guapo vs The Narco Vampires","El Guapo vs The Narco Vampires",https://www.imdb.com/title/tt37538716/,TV Movie,8.4,40,2025,"Animation",25,2025-12-30,"Jorge R. Gutiérrez",,
578,tt0149899,2025-12-31,2025-12-31,,"Black Angel Vol. 1","Kuro no tenshi Vol. 1",https://www.imdb.com/title/tt0149899/,Movie,5.9,107,1998,"Action, Crime, Drama, Thriller",984,1998-05-30,"Takashi Ishii",,
579,tt0259484,2025-12-31,2025-12-31,,"Paid in Full","Paid in Full",https://www.imdb.com/title/tt0259484/,Movie,7.0,97,2002,"Action, Crime, Drama",16061,2002-10-25,"Charles Stone III",,
580,tt13623608,2025-12-31,2025-12-31,,"The Curse","The Curse",https://www.imdb.com/title/tt13623608/,TV Mini Series,7.1,60,2023,"Comedy, Drama, Thriller",17111,2023-11-10,,,
581,tt10802170,2025-12-31,2025-12-31,,"The Rehearsal","The Rehearsal",https://www.imdb.com/title/tt10802170/,TV Series,8.5,30,2022,"Documentary, Comedy",36547,2022-07-15,,,
582,tt18382850,2026-01-02,2026-01-02,,"If I Had Legs I'd Kick You","If I Had Legs I'd Kick You",https://www.imdb.com/title/tt18382850/,Movie,6.6,113,2025,"Drama, Thriller",30797,2025-10-10,"Mary Bronstein",,
583,tt11041332,2026-01-05,2026-01-05,,"Yellowjackets","Yellowjackets",https://www.imdb.com/title/tt11041332/,TV Series,7.7,60,2021,"Drama, Horror, Mystery, Thriller",113869,2021-11-14,,,
584,tt0272152,2026-01-06,2026-01-06,,"K-PAX","K-PAX",https://www.imdb.com/title/tt0272152/,Movie,7.4,120,2001,"Drama, Mystery, Sci-Fi",202056,2001-10-26,"Iain Softley",,
585,tt0098213,2026-01-08,2026-01-08,,"Roger & Me","Roger & Me",https://www.imdb.com/title/tt0098213/,Movie,7.5,91,1989,"Documentary",28211,1989-12-20,"Michael Moore",,
586,tt0147612,2026-01-11,2026-01-11,,"Happiness","Happiness",https://www.imdb.com/title/tt0147612/,Movie,7.7,134,1998,"Comedy, Drama",79517,1998-10-16,"Todd Solondz",,
587,tt34272155,2026-01-18,2026-01-18,,"Tomb Raider: The Legend of Lara Croft: No Good Deed","Tomb Raider: The Legend of Lara Croft: No Good Deed",https://www.imdb.com/title/tt34272155/,TV Episode,6.6,24,2025,"Animation, Action, Adventure, Fantasy, Thriller",269,2025-12-11,"Willis Bulliner, Julie Olson, Cassie Urban, Meredith Layne",,
588,tt19783734,2026-01-24,2026-01-24,,"U Are the Universe","Ty - Kosmos",https://www.imdb.com/title/tt19783734/,Movie,7.8,90,2024,"Comedy, Drama, Romance, Sci-Fi, Thriller",4381,2025-11-20,"Pavlo Ostrikov",,
589,tt23149780,2026-01-25,2026-01-25,,"Eden","Eden",https://www.imdb.com/title/tt23149780/,Movie,6.5,129,2024,"Adventure, Drama, History, Thriller",41801,2025-08-22,"Ron Howard",,
590,tt8036976,2026-02-01,2026-02-01,,"Send Help","Send Help",https://www.imdb.com/title/tt8036976/,Movie,7.2,113,2026,"Adventure, Horror, Thriller",34728,2026-01-30,"Sam Raimi",,
591,tt34381460,2026-02-02,2026-02-02,,"96 Minutes","96 Minutes",https://www.imdb.com/title/tt34381460/,Movie,5.8,120,2025,"Action, Crime",1466,2026-01-30,"Tzu-Hsuan Hung",,
592,tt35892608,2026-02-04,2026-02-04,,"Undertone","The Undertone",https://www.imdb.com/title/tt35892608/,Movie,6.3,94,2025,"Horror, Sci-Fi, Thriller",3037,2026-03-13,"Ian Tuason",,
593,tt27714581,2026-02-04,2026-02-04,,"Sentimental Value","Affeksjonsverdi",https://www.imdb.com/title/tt27714581/,Movie,7.8,133,2025,"Drama",63183,2025-08-20,"Joachim Trier",,
594,tt0243558,2026-02-04,2026-02-04,,"Revolutionary Girl Utena: The Adolescence of Utena","Shôjo kakumei Utena: Adolescence mokushiroku",https://www.imdb.com/title/tt0243558/,Movie,7.2,100,1999,"Animation, Action, Adventure, Comedy, Drama, Fantasy, Romance",2029,1999-08-14,"Kunihiko Ikuhara",,
595,tt1670345,2026-02-14,2026-02-14,,"Now You See Me","Now You See Me",https://www.imdb.com/title/tt1670345/,Movie,7.2,115,2013,"Crime, Mystery, Thriller",766894,2013-05-31,"Louis Leterrier",,
596,tt0361140,2026-02-17,2026-02-17,,".hack//SIGN",".hack//SIGN",https://www.imdb.com/title/tt0361140/,TV Series,6.8,25,2002,"Animation, Action, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",1545,2003-02-01,,,
597,tt32634271,2026-02-21,2026-02-21,,"Dongji Rescue","Dong Ji Dao",https://www.imdb.com/title/tt32634271/,Movie,6.1,133,2025,"Action, Drama, Thriller, War",1295,2025-08-22,"Zhenxiang Fei, Guan Hu",,
598,tt29567915,2026-02-21,2026-02-21,,"Nuremberg","Nuremberg",https://www.imdb.com/title/tt29567915/,Movie,7.4,148,2025,"Biography, Drama, History, Thriller, War",72808,2025-11-07,"James Vanderbilt",,
599,tt36472181,2026-02-23,2026-02-23,,"Salvation","Kurtulus",https://www.imdb.com/title/tt36472181/,Movie,6.9,117,2026,"Drama",365,2026-03-06,"Emin Alper",,
600,tt35522483,2026-02-23,2026-02-23,,"Nirvanna the Band the Show the Movie","Nirvanna the Band the Show the Movie",https://www.imdb.com/title/tt35522483/,Movie,8.4,100,2025,"Adventure, Comedy, Sci-Fi",3138,2025-11-17,"Matt Johnson",,
601,tt1872194,2026-03-04,2026-03-04,,"The Judge","The Judge",https://www.imdb.com/title/tt1872194/,Movie,7.4,141,2014,"Crime, Drama, Mystery, Thriller",218476,2014-10-10,"David Dobkin",,
602,tt7958782,2026-03-04,2026-03-04,,"Proven Innocent","Proven Innocent",https://www.imdb.com/title/tt7958782/,TV Series,6.6,60,2019,"Crime, Drama, Mystery",3254,2019-02-15,,,
603,tt0120804,2026-03-14,2026-03-14,,"Resident Evil","Resident Evil",https://www.imdb.com/title/tt0120804/,Movie,6.6,100,2002,"Action, Horror, Sci-Fi",308727,2002-03-15,"Paul W.S. Anderson",,
